Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
QCL,Crops and livestock products,004,Afghanistan,5111,Stocks,02111,Cattle,2024,2024,An,5555383,E,Estimated value,
QCL,Crops and livestock products,004,Afghanistan,5111,Stocks,02123,Goats,2024,2024,An,8190291,E,Estimated value,
QCL,Crops and livestock products,004,Afghanistan,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,10361,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,004,Afghanistan,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,33865,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,004,Afghanistan,5111,Stocks,02122,Sheep,2024,2024,An,12450000,E,Estimated value,
QCL,Crops and livestock products,008,Albania,5111,Stocks,02111,Cattle,2024,2024,An,272035,A,Official value,
QCL,Crops and livestock products,008,Albania,5111,Stocks,02123,Goats,2024,2024,An,615188,A,Official value,
QCL,Crops and livestock products,008,Albania,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,4557,A,Official value,
QCL,Crops and livestock products,008,Albania,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,11480,A,Official value,
QCL,Crops and livestock products,008,Albania,5111,Stocks,02122,Sheep,2024,2024,An,1176523,A,Official value,
QCL,Crops and livestock products,008,Albania,5111,Stocks,02140,Swine / pigs,2024,2024,An,104042,A,Official value,
QCL,Crops and livestock products,012,Algeria,5111,Stocks,02111,Cattle,2024,2024,An,1782454,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,012,Algeria,5111,Stocks,02123,Goats,2024,2024,An,5071523,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,012,Algeria,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,22628,E,Estimated value,
QCL,Crops and livestock products,012,Algeria,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,378772,E,Estimated value,
QCL,Crops and livestock products,012,Algeria,5111,Stocks,02122,Sheep,2024,2024,An,32354831,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,012,Algeria,5111,Stocks,02140,Swine / pigs,2024,2024,An,4808,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,024,Angola,5111,Stocks,02111,Cattle,2024,2024,An,5200294,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,024,Angola,5111,Stocks,02123,Goats,2024,2024,An,4270675,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,024,Angola,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,35521,E,Estimated value,
QCL,Crops and livestock products,024,Angola,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,60820,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,024,Angola,5111,Stocks,02122,Sheep,2024,2024,An,1140494,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,024,Angola,5111,Stocks,02140,Swine / pigs,2024,2024,An,3188105,E,Estimated value,
QCL,Crops and livestock products,028,Antigua and Barbuda,5111,Stocks,02111,Cattle,2024,2024,An,4500,E,Estimated value,
QCL,Crops and livestock products,028,Antigua and Barbuda,5111,Stocks,02123,Goats,2024,2024,An,15000,E,Estimated value,
QCL,Crops and livestock products,028,Antigua and Barbuda,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,34,A,Official value,
QCL,Crops and livestock products,028,Antigua and Barbuda,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,5,A,Official value,
QCL,Crops and livestock products,028,Antigua and Barbuda,5111,Stocks,02122,Sheep,2024,2024,An,4473,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,028,Antigua and Barbuda,5111,Stocks,02140,Swine / pigs,2024,2024,An,4984,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,032,Argentina,5111,Stocks,02111,Cattle,2024,2024,An,52783892,A,Official value,
QCL,Crops and livestock products,032,Argentina,5111,Stocks,02123,Goats,2024,2024,An,4121846,A,Official value,
QCL,Crops and livestock products,032,Argentina,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,57700,X,Value from external organization,Unofficial figure
QCL,Crops and livestock products,032,Argentina,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,739166,A,Official value,
QCL,Crops and livestock products,032,Argentina,5111,Stocks,02122,Sheep,2024,2024,An,12440906,A,Official value,
QCL,Crops and livestock products,032,Argentina,5111,Stocks,02140,Swine / pigs,2024,2024,An,6115215,A,Official value,
QCL,Crops and livestock products,051,Armenia,5111,Stocks,02111,Cattle,2024,2024,An,491594,A,Official value,
QCL,Crops and livestock products,051,Armenia,5111,Stocks,02123,Goats,2024,2024,An,19486,A,Official value,
QCL,Crops and livestock products,051,Armenia,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,2654,A,Official value,
QCL,Crops and livestock products,051,Armenia,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,12968,E,Estimated value,
QCL,Crops and livestock products,051,Armenia,5111,Stocks,02122,Sheep,2024,2024,An,690565,A,Official value,
QCL,Crops and livestock products,051,Armenia,5111,Stocks,02140,Swine / pigs,2024,2024,An,186951,A,Official value,
QCL,Crops and livestock products,036,Australia,5111,Stocks,02111,Cattle,2024,2024,An,30372537,A,Official value,
QCL,Crops and livestock products,036,Australia,5111,Stocks,02123,Goats,2024,2024,An,5400000,E,Estimated value,
QCL,Crops and livestock products,036,Australia,5313,Laying,0231,"Hen eggs in shell, fresh",2024,2024,1000 An,16536,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,036,Australia,5321,Producing Animals/Slaughtered,21121,"Meat of chickens, fresh or chilled",2024,2024,1000 An,740976,A,Official value,
QCL,Crops and livestock products,036,Australia,5111,Stocks,02122,Sheep,2024,2024,An,79330000,E,Estimated value,
QCL,Crops and livestock products,036,Australia,5111,Stocks,02140,Swine / pigs,2024,2024,An,2497379,I,Value imputed by a receiving agency,
QCL,Crops and livestock products,040,Austria,5111,Stocks,02111,Cattle,2024,2024,An,1820030,A,Official value,
